source,target,trip_count,weighted_trips
Whittlesea (C),Melbourne (C),5,5446.485281487
Whittlesea (C),Melton (S),4,2055.6704776
Whittlesea (C),Merri-bek (C),2,1581.018567721
Whittlesea (C),Monash (C),3,958.790680229
Whittlesea (C),Moonee Valley (C),5,4491.028187955
Whittlesea (C),Nillumbik (S),4,4785.734617161001
Whittlesea (C),Port Phillip (C),1,787.666986691
Whittlesea (C),Stonnington (C),1,684.685431405
Whittlesea (C),Surf Coast (S),1,1125.858181581
Whittlesea (C),Whittlesea (C),297,251753.595001933
Wodonga (RC),Wodonga (RC),1,189.51649229
Wyndham (C),Brimbank (C),7,4581.765984345
Wyndham (C),Greater Dandenong (C),3,1399.215860579
Wyndham (C),Greater Geelong (C),4,2754.759280171
Wyndham (C),Hobsons Bay (C),21,17146.273949986
Wyndham (C),Hume (C),3,3344.4209947
Wyndham (C),Latrobe (C),1,355.872264413
Wyndham (C),Maribyrnong (C),8,6462.098629100001
Wyndham (C),Melbourne (C),14,8609.605781626
Wyndham (C),Melton (S),3,3492.3465234759997
Wyndham (C),Merri-bek (C),1,579.080932505
Wyndham (C),Whittlesea (C),2,1176.387110396
Wyndham (C),Wyndham (C),423,306681.498115827
Wyndham (C),Yarra (C),9,4130.675624177
Yarra (C),Banyule (C),6,2732.765420544
Yarra (C),Bayside (C),1,324.883269921
Yarra (C),Boroondara (C),8,9781.623502707
Yarra (C),Brimbank (C),3,1484.310759529
Yarra (C),Cardinia (S),1,1040.828281125
Yarra (C),Casey (C),1,1012.283941335
Yarra (C),Darebin (C),21,16037.625809134
Yarra (C),Frankston (C),1,784.547234463
Yarra (C),Glen Eira (C),2,2122.902944579
Yarra (C),Greater Bendigo (C),1,396.437892948
Yarra (C),Kingston (C),2,1258.3642475440001
Yarra (C),Macedon Ranges (S),1,286.301856224
Yarra (C),Manningham (C),1,382.905001388
Yarra (C),Maribyrnong (C),2,1168.573451994
Yarra (C),Melbourne (C),25,16389.046345475
Yarra (C),Merri-bek (C),8,5733.978922811
Yarra (C),Monash (C),1,1552.744085998
Yarra (C),Moonee Valley (C),6,3519.398488387
Yarra (C),Nillumbik (S),4,3243.032614935
Yarra (C),Port Phillip (C),4,2345.199053251
Yarra (C),Stonnington (C),8,5526.771025116
Yarra (C),Whitehorse (C),3,1650.9815909210001
Yarra (C),Whittlesea (C),1,825.483532768
Yarra (C),Wyndham (C),1,527.978358167
Yarra (C),Yarra (C),195,166580.067532313
Yarra Ranges (S),Boroondara (C),2,849.974842138
Yarra Ranges (S),Cardinia (S),4,2493.58735457
Yarra Ranges (S),Casey (C),2,2117.919075117
Yarra Ranges (S),Frankston (C),3,5505.455565638
Yarra Ranges (S),Glen Eira (C),2,1296.273985603
Yarra Ranges (S),Greater Dandenong (C),3,3812.241160117
Yarra Ranges (S),Hobsons Bay (C),1,1527.722479291
Yarra Ranges (S),Kingston (C),1,870.319246892
Yarra Ranges (S),Knox (C),32,17651.863657273
Yarra Ranges (S),Manningham (C),2,726.580887669
Yarra Ranges (S),Mansfield (S),1,656.134700532
Yarra Ranges (S),Maroondah (C),35,24513.551242717
Yarra Ranges (S),Melbourne (C),1,690.73741185
Yarra Ranges (S),Monash (C),1,467.581083325
Yarra Ranges (S),Stonnington (C),2,1403.402377376
Yarra Ranges (S),Wangaratta (RC),2,1064.027545995
Yarra Ranges (S),Whitehorse (C),2,1463.854776918
Yarra Ranges (S),Yarra Ranges (S),218,170555.796556514
