LOCALITY,cafe_count
BOTANIC RIDGE,1
CLYDE,1
BELGRAVE HEIGHTS,1
SUNSHINE NORTH,1
TOORAK,1
WERRIBEE SOUTH,1
FRASER RISE,1
WOLLERT,1
ST KILDA EAST,1
CRANBOURNE SOUTH,1
WONGA PARK,1
TREMONT,1
