Suburb,Population
BOOMAHNOOMOONAH,14
BOONAH,18
BOORCAN,142
BOORHAMAN,135
BOORHAMAN EAST,13
BOORHAMAN NORTH,53
BOOROLITE,166
BOOROOL,54
BOORT,940
BOOSEY,108
BORALMA,79
BORNES HILL,33
BORONIA,23607
BORUNG,59
BOSTOCKS CREEK,85
BOTANIC RIDGE,6739
BOUNDARY BEND,154
BOWENVALE,209
BOWEYA,51
BOWEYA NORTH,42
BOWMANS FOREST,106
BOWSER,44
BOX HILL,14353
BOX HILL NORTH,12337
BOX HILL SOUTH,8491
BOXWOOD,19
BRADFORD,12
BRADVALE,46
BRAESIDE,25
BRANDY CREEK,94
BRANXHOLME,304
BRAVINGTON,14
BRAYBROOK,9682
BREAKAWAY CREEK,39
BREAKWATER,1060
BREAMLEA,151
BRENANAH,29
BREWSTER,47
BRIAGOLONG,1133
BRIAR HILL,3220
BRIDGE CREEK,117
BRIDGEWATER,133
BRIDGEWATER NORTH,54
BRIDGEWATER ON LODDON,341
BRIGHT,2620
BRIGHTON,23252
BRIGHTON EAST,16757
BRIM,181
BRIMBOAL,11
BRIMIN,56
BRIMPAEN,80
BRINGALBERT,6
BRIT BRIT,42
BROADFORD,4592
BROADMEADOWS,12524
BROADWATER,75
BRODRIBB RIVER,29
BROKEN CREEK,45
BROMLEY,46
BROOKFIELD,10782
BROOKLYN,1979
BROOKVILLE,16
BROOMFIELD,213
BROUGHTON,65
BROWN HILL,4489
BROWNS PLAINS,99
BRUARONG,114
BRUCKNELL,127
BRUMBY,0
BRUNSWICK,24896
BRUNSWICK EAST,13279
BRUNSWICK WEST,14746
BRUTHEN,820
BUANGOR,112
BUCHAN,201
BUCHAN SOUTH,102
BUCKLAND,156
BUCKLEY,228
BUCKLEY SWAMP,21
BUCKRABANYULE,52
BUDGEE BUDGEE,0
BUDGEREE,146
BUDGERUM EAST,0
BUFFALO,284
BUFFALO RIVER,285
BULART,104
BULDAH,5
BULGA,0
BULGANA,19
BULLA,668
BULLAHARRE,19
BULLAROOK,77
BULLARTO,89
BULLARTO SOUTH,48
BULLEEN,11219
BULLENGAROOK,714
BULLIOH,63
BULLUMWAAL,45
BULN BULN,551
BULN BULN EAST,182
BUMBERRAH,101
BUNBARTHA,313
BUNDALAGUAH,229
BUNDALONG,512
BUNDALONG SOUTH,42
BUNDARA,0
BUNDING,61
BUNDOORA,28068
BUNG BONG,63
BUNGADOR,65
BUNGAL,32
BUNGALALLY,93
BUNGAREE,302
BUNGEET,29
BUNGEET WEST,44
BUNGIL,0
BUNGULUKE,18
BUNINYONG,3797
BUNKERS HILL,270
BUNYIP,3131
BUNYIP NORTH,95
BURAGWONDUC,0
BURKES BRIDGE,14
BURKES FLAT,20
BURNBANK,47
BURNEWANG,37
BURNLEY,794
BURNSIDE,5800
BURNSIDE HEIGHTS,6377
BURRAMBOOT,36
BURRAMINE,241
BURRAMINE SOUTH,24
BURROWYE,24
BURRUMBEET,249
BURWOOD,15147
BURWOOD EAST,10675
BUSHFIELD,596
BUSHY PARK,49
BUTCHERS RIDGE,7
BUXTON,591
BYADUK,129
BYADUK NORTH,134
BYAWATHA,160
BYLANDS,117
BYRNESIDE,161
CABARITA,482
CABBAGE TREE,10
CABBAGE TREE CREEK,52
CADELLO,25
CAIRNLEA,10038
CALDER PARK,0
CALDERMEADE,181
CALIFORNIA GULLY,4476
CALIVIL,178
CALLAWADDA,45
CALLIGNEE,391
CALLIGNEE NORTH,42
CALLIGNEE SOUTH,10
CALROSSIE,30
CALULU,186
CAMBARVILLE,0
CAMBERWELL,21965
CAMBRIAN HILL,292
CAMPBELLFIELD,4977
CAMPBELLS BRIDGE,21
CAMPBELLS CREEK,2071
CAMPBELLS FOREST,50
CAMPBELLTOWN,51
CAMPERDOWN,3354
CANADIAN,4098
CANARY ISLAND,4
CANIAMBO,82
CANN RIVER,197
CANNIE,16
CANNONS CREEK,650
CANNUM,45
CANTERBURY,7800
CAPE BRIDGEWATER,151
CAPE CLEAR,148
CAPE CONRAN,5
CAPE OTWAY,34
CAPE PATERSON,1111
CAPE SCHANCK,569
CAPE WOOLAMAI,2301
CAPEL SOUND,5246
CAPELS CROSSING,54
CARAG CARAG,61
CARALULUP,3
CARAMUT,256
