Suburb,Population
JINDIVICK,584
JOEL JOEL,17
JOEL SOUTH,26
JOHANNA,85
JOHNSONVILLE,326
JOYCES CREEK,20
JUMBUK,42
JUMBUNNA,150
JUNCTION VILLAGE,1051
JUNGABURRA,0
JUNORTOUN,3862
KAARIMBA,93
KADNOOK,41
KALIMNA,1350
KALIMNA WEST,161
KALKALLO,5548
KALKEE,48
KALLISTA,1418
KALORAMA,1277
KALPIENUNG,28
KAMAROOKA,89
KAMAROOKA NORTH,9
KANAGULK,28
KANCOONA,74
KANGAROO FLAT,11328
KANGAROO GROUND,1208
KANIVA,891
KANUMBRA,53
KANYA,17
KANYAPELLA,51
KARABEAL,29
KARDELLA,169
KARDELLA SOUTH,135
KARIAH,94
KARNAK,9
KARRAMOMUS,40
KARYRIE,15
KATAMATITE,453
KATAMATITE EAST,30
KATANDRA,120
KATANDRA WEST,492
KATUNGA,1025
KAWARREN,189
KEALBA,3226
KEELY,57
KEILOR,5906
KEILOR DOWNS,9857
KEILOR EAST,15078
KEILOR LODGE,1668
KEILOR NORTH,67
KEILOR PARK,2684
KELLALAC,13
KELVIN VIEW,76
KENLEY,64
KENMARE,3
KENNEDYS CREEK,44
KENNETT RIVER,74
KENNINGTON,5880
KENSINGTON,10745
KERANG,3960
KERANG EAST,44
KERGUNYAH,232
KERGUNYAH SOUTH,76
KERNOT,118
KERRIE,83
KERRISDALE,86
KEVINGTON,36
KEW,24499
KEW EAST,6620
KEWELL,57
KEYSBOROUGH,30018
KIALLA,8667
KIALLA EAST,170
KIALLA WEST,415
KIATA,64
KIEWA,483
KILCUNDA,578
KILLARA (GLENELG - VIC.),9
KILLARA (WODONGA - VIC.),1485
KILLARNEY,195
KILLAWARRA,391
KILLINGWORTH,156
KILMANY,165
KILMORE,9207
KILMORE EAST,450
KILSYTH,11699
KILSYTH SOUTH,2862
KIMBOLTON,96
KING VALLEY,87
KINGLAKE,1662
KINGLAKE CENTRAL,413
KINGLAKE WEST,1305
KINGOWER,46
KINGS PARK,8203
KINGSBURY,3460
KINGSTON,190
KINGSVILLE,3920
KINNABULLA,26
KINYPANIAL,12
KIRKSTALL,406
KIRWANS BRIDGE,134
KITHBROOK,67
KNEBSWORTH,22
KNOCKWOOD,0
KNOWSLEY,168
KNOXFIELD,7645
KOALLAH,28
KOETONG,26
KOLORA,188
KONGWAK,207
KONONGWOOTONG,60
KOO WEE RUP,4047
KOO WEE RUP NORTH,47
KOOLOONONG,19
KOONDA,26
KOONDROOK,1101
KOONOOMOO,305
KOONWARRA,366
KOOREH,29
KOORLONG,397
KOORNALLA,89
KOOROOCHEANG,41
KOOROOL,0
KOOROOMAN,115
KOOYONG,842
KORIELLA,66
KOROBEIT,75
KOROIT,2184
KORONG VALE,143
KOROOP,63
KORUMBURRA,4749
KORUMBURRA SOUTH,114
KORWEINGUBOORA,196
KOTTA,134
KOTUPNA,132
KOYUGA,355
KROWERA,134
KULWIN,16
KUNAT,45
KURRACA,5
KURRACA WEST,0
KURTING,61
KURUNJANG,10711
KYABRAM,7416
KYABRAM SOUTH,69
KYNETON,7513
KYNETON SOUTH,116
KYVALLEY,363
LAANECOORIE,179
LAANG,115
LABERTOUCHE,386
LACEBY,304
LADYS PASS,118
LAEN,4
LAEN EAST,6
LAEN NORTH,14
LAH,57
LAHARUM,162
LAKE BOGA,982
LAKE BOLAC,368
LAKE BUNGA,408
LAKE CHARM,147
LAKE CONDAH,9
LAKE EILDON,3
LAKE EPPALOCK,0
LAKE FYANS,23
LAKE GARDENS,1801
LAKE GOLDSMITH,22
LAKE LONSDALE,58
LAKE MARMAL,21
LAKE MERAN,22
LAKE MUNDI,37
LAKE POWELL,86
LAKE ROWAN,70
LAKE TYERS,4
LAKE TYERS BEACH,802
LAKE TYRRELL,0
LAKE WELLINGTON,0
LAKE WENDOUREE,2878
LAKE WONGAN,3
LAKES ENTRANCE,5145
LAL LAL,621
LALBERT,138
LALOR,23219
LAMPLOUGH,49
LANCASTER,398
LANCE CREEK,143
LANCEFIELD,2743
LANDSBOROUGH,200
LANDSBOROUGH WEST,49
LANG LANG,2556
LANG LANG EAST,94
LANGDONS HILL,23
LANGI KAL KAL,336
LANGI LOGAN,23
LANGKOOP,100
LANGLEY,52
LANGSBOROUGH,100
LANGWARRIN,23588
LANGWARRIN SOUTH,1346
LARA,19014
LARDNER,110
LARPENT,200
LASCELLES,82
LAUNCHING PLACE,2495
LAURISTON,247
LAVERS HILL,87
LAVERTON,4760
LAVERTON NORTH,119
LAWLER,16
LAWLOIT,14
LAWRENCE,8
LEAGHUR,20
LEARMONTH,396
LEDCOURT,43
LEICHARDT,167
LEIGH CREEK,65
LEITCHVILLE,576
LEMNOS,251
LENEVA,1317
LEONARDS HILL,47
LEONGATHA,5869
LEONGATHA NORTH,141
LEONGATHA SOUTH,616
LEOPOLD,13272
LERDERDERG,0
LESLIE MANOR,66
LETHBRIDGE,1181
LEXTON,284
LICOLA,7
LICOLA NORTH,9
LILLICO,94
LILLICUR,85
LILLIMUR,112
LILLIPUT,84
LILYDALE,17348
LIMA,92
LIMA EAST,165
LIMA SOUTH,142
LIMESTONE,121
LINDENOW,527
LINDENOW SOUTH,475
LINDSAY,9
LINDSAY POINT,32
LINGA,13
LINTON,635
LIPAROO,33
LISMORE,472
LITCHFIELD,36
LITTLE DESERT,5
LITTLE HAMPTON,74
LITTLE RIVER,1353
LLANELLY,62
LLOWALONG,42
LOCH,707
LOCH SPORT,1021
LOCH VALLEY,0
LOCKINGTON,850
LOCKSLEY,131
LOCKWOOD,806
LOCKWOOD SOUTH,1052
LODDON VALE,24
LOGAN,59
LONDRIGAN,159
LONG FOREST,343
LONG GULLY,3420
LONGERENONG,237
LONGFORD,1489
LONGLEA,570
LONGWARRY,2436
LONGWARRY NORTH,230
LONGWOOD,263
LONGWOOD EAST,131
LORNE,1327
LORQUON,8
LOVELY BANKS,2782
LOWER MOIRA,30
LOWER NORTON,236
LOWER PLENTY,3962
LOY YANG,7
LUBECK,40
LUCAS,2994
LUCKNOW,1439
LUCYVALE,25
LURG,220
LYNBROOK,9121
LYNDHURST,8926
LYONS,31
LYONVILLE,189
LYSTERFIELD,6681
LYSTERFIELD SOUTH,994
MACARTHUR,469
MACCLESFIELD,878
MACEDON,2073
MACKS CREEK,35
MACLEOD,9892
MACORNA,67
MACORNA NORTH,31
MACS COVE,121
MADALYA,21
MADDINGLEY,5491
MAFEKING,20
MAFFRA,5384
MAFFRA WEST UPPER,73
MAGPIE,368
MAIDEN GULLY,5407
MAIDSTONE,9389
MAILORS FLAT,490
MAIN LEAD,42
MAIN RIDGE,453
MAINDAMPLE,239
MAINTONGOON,75
MAJOR PLAINS,36
MAJORCA,198
MALDON,1665
MALLACOOTA,1183
MALMSBURY,905
MALVERN,9929
MALVERN EAST,22296
MAMBOURIN,315
MANANGATANG,274
MANDURANG,753
MANDURANG SOUTH,280
MANGALORE,183
MANIFOLD HEIGHTS,2681
MANNERIM,108
MANNIBADAR,65
MANNS BEACH,29
MANOR LAKES,12675
MANORINA,7
MANSFIELD,5541
MARAMINGO CREEK,6
MARCUS HILL,164
MARDAN,248
MARENGO,272
MARIBYRNONG,12573
MARIONVALE,116
MARKWOOD,230
MARLBED,6
MARLO,602
MARNOO,99
MARNOO EAST,6
MARNOO WEST,11
MARONG,2005
MAROONA,80
MARRAWEENEY,77
MARSHALL,2299
MARTHAVALE,0
MARUNGI,98
MARYBOROUGH,8160
MARYKNOLL,646
MARYSVILLE,501
MARYVALE,43
MASSEY,23
MATLOCK,7
MAUDE,211
MCCRAE,3311
MCINTYRE,47
MCKENZIE CREEK,140
MCKENZIE HILL,775
MCKINNON,6878
MCLOUGHLINS BEACH,121
MCMAHONS CREEK,143
MCMILLANS,87
MEAD,102
MEADOW CREEK,112
MEADOW HEIGHTS,14890
MEATIAN,19
MEENIYAN,840
MEERING WEST,12
MEERLIEU,90
MELBOURNE,54941
MELBOURNE AIRPORT,64
MELTON,7953
MELTON SOUTH,11362
MELTON WEST,8784
MELVILLE FOREST,63
MELWOOD,17
MENA PARK,32
MENTONE,13197
MENZIES CREEK,966
MEPUNGA,36
MEPUNGA EAST,73
MEPUNGA WEST,83
MERBEIN,2770
MERBEIN SOUTH,407
MERBEIN WEST,223
MEREDITH,821
MERINGUR,70
MERINO,249
MERNDA,23369
MERRIANG,182
MERRIANG SOUTH,43
MERRICKS,184
MERRICKS BEACH,157
MERRICKS NORTH,423
MERRIGUM,679
MERRIJIG (EAST GIPPSLAND - VIC.),0
MERRIJIG (MANSFIELD - VIC.),721
MERRIMU,397
MERRINEE,42
MERTON,216
METCALFE,190
METCALFE EAST,25
METUNG,1899
MIA MIA,213
MICKLEHAM,17452
MIDDLE CREEK,22
MIDDLE PARK,4000
MIDDLE TARWIN,91
MIEPOLL,223
MIGA LAKE,33
MILAWA,588
MILDURA,34565
MILL PARK,28712
MILLBROOK,180
MILLGROVE,1666
MILLOO,37
MILLTOWN,46
MILNES BRIDGE,31
MINCHA,62
MINCHA WEST,16
MINERS REST,3829
MINGAY,44
MINHAMITE,106
MINIMAY,64
MININERA,51
MINJAH,65
MINMINDIE,13
MINYIP,525
MIOWERA,0
MIRALIE,0
MIRAM,36
MIRBOO,334
MIRBOO NORTH,2263
MIRIMBAH,0
MIRRANATWA,31
MITCHAM,16795
MITCHELL PARK,887
MITCHELLSTOWN,71
MITIAMO,116
MITRE,66
MITTA MITTA,171
MITTYACK,12
MOCKINYA,30
MODELLA,169
MODEWARRE,277
MOE,9375
MOE SOUTH,529
MOGGS CREEK,120
MOGLONEMBY,28
MOKEPILLY,6
MOLESWORTH,91
MOLIAGUL,80
MOLKA,34
MOLLONGGHIP,105
MOLOGA,20
MOLYULLAH,160
MONBULK,3651
MONEGEETTA,207
MONGANS BRIDGE,49
MONOMAK,0
MONOMEITH,69
MONT ALBERT,4948
MONT ALBERT NORTH,5609
MONTGOMERY,65
MONTMORENCY,9250
MONTROSE,6900
MOOLAP,1825
MOOLERR,23
MOOLORT,44
MOONAMBEL,185
MOONDARRA,49
MOONEE PONDS,16224
MOONLIGHT FLAT (CENTRAL GOLDFIELDS - VIC.),85
MOONLIGHT FLAT (MOUNT ALEXANDER - VIC.),81
MOORA,32
MOORABBIN,6287
MOORABBIN AIRPORT,26
MOORABOOL,94
MOORALLA,79
MOORILIM,25
MOORMBOOL WEST,43
MOORNAPA,5
MOORNGAG,75
MOOROODUC,1004
MOOROOLBARK,23059
MOOROOPNA,8312
MOOROOPNA NORTH,144
MOOROOPNA NORTH WEST,67
MORANDING,193
MORDIALLOC,8886
MORGIANA,29
MORIAC,852
MORNINGTON,25759
MOROKA,0
MORRISONS,118
MORRL MORRL,0
MORTLAKE,1477
MORTON PLAINS,10
MORWELL,14389
MOSSIFACE,138
MOUNT ALFRED,39
MOUNT BEAUTY,910
MOUNT BECKWORTH,15
MOUNT BEST,46
MOUNT BOLTON,29
MOUNT BRUNO,47
MOUNT BUFFALO,5
MOUNT BULLER,333
MOUNT BURNETT,180
MOUNT BUTE,61
MOUNT CAMEL,136
MOUNT CAMERON,15
MOUNT CLEAR,3671
MOUNT COLE,21
MOUNT COLE CREEK,10
MOUNT COTTRELL,496
MOUNT DANDENONG,1271
MOUNT DORAN,118
MOUNT DRYDEN,8
MOUNT DUNEED,6182
MOUNT ECCLES,139
MOUNT EGERTON,706
MOUNT ELIZA,18734
MOUNT EMU,28
MOUNT EVELYN,9799
MOUNT FRANKLIN,99
MOUNT GLASGOW,92
MOUNT HELEN,3011
MOUNT HOOGHLY,18
MOUNT LONARCH,44
MOUNT MACEDON,1450
MOUNT MAJOR,10
MOUNT MARTHA,19846
MOUNT MERCER,94
MOUNT MORIAC,251
MOUNT NAPIER,16
MOUNT PLEASANT,2225
MOUNT PROSPECT,41
MOUNT RICHMOND,42
MOUNT ROWAN,295
MOUNT SABINE,0
MOUNT TASSIE,0
MOUNT TAYLOR,330
MOUNT TOOLEBEWONG,119
MOUNT WALLACE,117
MOUNT WAVERLEY,35340
MOUNTAIN BAY,54
MOUNTAIN VIEW,85
MOUTAJUP,108
MOYHU,437
MOYREISK,31
MOYSTON,403
MUCKATAH,170
MUCKLEFORD,426
MUCKLEFORD SOUTH,33
MUDGEGONGA,184
MULGRAVE,19889
MUMBANNAR,100
MUNDOONA,138
MUNRO,167
MUNTHAM,29
MURCHISON,884
MURCHISON EAST,140
MURCHISON NORTH,185
MURGHEBOLUC,132
MURMUNGEE,69
MURNUNGIN,14
MURPHYS CREEK,46
MURRA WARRA,63
MURRABIT,230
MURRABIT WEST,41
MURRAWEE,126
MURRAY-SUNSET,8
MURRAYDALE,105
MURRAYVILLE,278
MURRINDAL,8
MURRINDINDI,114
MURROON,95
MURRUMBEENA,9996
MURTOA,897
MUSK,177
MUSK VALE,170
MUSKERRY,59
MYALL (BULOKE - VIC.),17
MYALL (GANNAWARRA - VIC.),98
MYAMYN,64
MYERS FLAT,545
MYOLA,7
MYRNIONG,387
MYRRHEE,168
MYRTLE CREEK,68
MYRTLEBANK,126
MYRTLEFORD,3285
MYSIA,26
MYSTIC PARK,212
MYWEE,20
NAGAMBIE,2254
NALANGIL,72
NALINGA,22
NAMBROK,280
NANDALY,30
NANGANA,54
NANGEELA,17
NANGILOC,153
NANNEELLA,425
NAP NAP MARRA,0
NAPOLEONS,555
NAR NAR GOON,1023
NAR NAR GOON NORTH,819
NARBETHONG,201
NAREEB,48
NAREEN,79
NAREEWILLOCK,24
NARIEL VALLEY,87
NARING,122
NARINGAL,124
NARINGAL EAST,96
NAROGHID,66
NARRACAN,262
NARRAPORT,50
NARRAPUMELAP SOUTH,31
NARRAWONG,462
NARRE WARREN,27689
NARRE WARREN EAST,434
NARRE WARREN NORTH,8033
NARRE WARREN SOUTH,30909
NARRUNG,24
NATHALIA,1982
NATIMUK,548
NATTE YALLOCK,89
NATYA,40
NAVARRE,99
NAVIGATORS,276
NAYOOK,70
NEDS CORNER,3
NEEREMAN,23
NEERIM,218
NEERIM EAST,196
NEERIM JUNCTION,139
NEERIM NORTH,41
NEERIM SOUTH,1599
NEILBOROUGH,379
NELSE,0
NELSON,191
NERRENA,238
NERRIN NERRIN,48
NERRINA,970
NERRING,14
NETHERBY,111
NEUARPURR,56
NEW GISBORNE,2509
NEWBOROUGH,6886
NEWBRIDGE,171
NEWBURY,84
NEWCOMB,4704
NEWFIELD,59
NEWHAM,533
NEWHAVEN,547
NEWINGTON,1844
NEWLANDS ARM,866
NEWLYN,136
NEWLYN NORTH,230
NEWMERELLA,415
NEWPORT,13658
NEWRY,451
NEWSTEAD,820
NEWTOWN (GOLDEN PLAINS - VIC.),189
NEWTOWN (GREATER GEELONG - VIC.),10445
NHILL,2401
NICHOLS POINT,1723
NICHOLSON,1322
NIDDRIE,5901
NILMA,410
NILMA NORTH,344
NINDA,9
NINE MILE,19
NINTINGBOOL,168
NINYEUNOOK,13
NIRRANDA,50
NIRRANDA EAST,12
NIRRANDA SOUTH,90
NOBLE PARK,32257
NOBLE PARK NORTH,7436
NOOJEE,177
NOORAT,318
NOORAT EAST,17
NOORINBEE,84
NOORINBEE NORTH,37
NORADJUHA,89
NORLANE,8682
NORMANVILLE,34
NORONG,130
NORTH BENDIGO,4277
NORTH BLACKWOOD,50
NORTH GEELONG,3225
NORTH MELBOURNE,14953
NORTH SHORE,325
NORTH WANGARATTA,282
NORTH WARRANDYTE,3027
NORTH WONTHAGGI,3475
NORTHCOTE,25276
NORTHWOOD,203
NORVAL,40
NOTTING HILL,2895
NOWA NOWA,199
NOWHERE CREEK,20
NOWIE,24
NUG NUG,36
NUGGETTY,64
NULLA VALE,96
NULLAWARRE,233
NULLAWARRE NORTH,46
NULLAWIL,92
NUMURKAH,4604
NUNAWADING,12413
NUNGURNER,327
NUNNIONG,0
NURCOUNG,33
NURRABIEL,43
NURRAN,7
NUTFIELD,158
NYAH,536
NYAH WEST,673
NYARRIN,17
NYERIMILANG,3
NYORA,1644
NYRRABY,18
OAK PARK,6714
OAKLANDS JUNCTION,439
OAKLEIGH,8442
OAKLEIGH EAST,6804
OAKLEIGH SOUTH,9851
OAKVALE,19
OCEAN GRANGE,5
OCEAN GROVE,17714
OFFICER,18503
OFFICER SOUTH,1159
OLD TALLANGATTA,45
OLINDA,1773
OMBERSLEY,93
OMEO,411
OMEO VALLEY,9
ONDIT,101
ORBOST,2264
ORFORD,115
ORMOND,8328
ORRVALE,450
OSBORNES FLAT,285
OUTTRIM,270
OUYEN,1170
OVENS,197
OXLEY,710
OXLEY FLATS,49
OZENKADNOOK,25
PAARATTE,36
PAINSWICK,14
PAKENHAM,54118
PAKENHAM SOUTH,229
PAKENHAM UPPER,1196
PANITYA,67
PANMURE,442
PANTON HILL,1063
PARADISE,41
PARADISE BEACH,172
PARAPARAP,167
PARK ORCHARDS,3835
PARKDALE,12308
PARKVILLE,7074
PARWAN,188
PASCHENDALE,33
PASCOE VALE,18171
PASCOE VALE SOUTH,10534
PASTORIA,75
PASTORIA EAST,51
PATCHEWOLLOCK,149
PATHO,138
PATTERSON LAKES,7793
PATYAH,58
PAYNESVILLE,3636
PEARCEDALE,3867
PEARSONDALE,125
PEECHELBA,177
PEECHELBA EAST,54
PELLUEBLA,29
PENNYROYAL,110
PENSHURST,677
PENTAL ISLAND,159
PENTLAND HILLS,158
PERCYDALE,22
PERONNE,49
PERRY BRIDGE,72
PETERBOROUGH,322
PETTICOAT CREEK,7
PHEASANT CREEK,360
PIANGIL,230
PICOLA,206
PICOLA WEST,14
PIEDMONT,52
PIER MILAN,6
PIGEON PONDS,29
PIGGOREET,17
PIMPINIO,191
PINE GROVE,40
PINE LODGE,267
PINE MOUNTAIN,32
PINE VIEW,4
PIONEER BAY,365
PIPERS CREEK,189
PIRA,16
PIRIES,66
PIRRON YALLOCK,132
PITFIELD,14
PITTONG,12
PLENTY,2575
PLUMPTON,79
POINT COOK,66781
POINT LEO,178
POINT LONSDALE,3788
POINT WILSON,0
POLISBET,5
POMBORNEIT,73
POMBORNEIT EAST,42
POMBORNEIT NORTH,48
POMONAL,356
POMPAPIEL,38
POOLAIJELO,26
POOTILLA,79
POOWONG,717
POOWONG EAST,88
POOWONG NORTH,202
PORCUPINE RIDGE,149
POREPUNKAH,1024
PORT ALBERT,403
PORT CAMPBELL,440
PORT FAIRY,3742
PORT FRANKLIN,174
PORT MELBOURNE,17633
PORT WELSHPOOL,220
PORTARLINGTON,4436
PORTLAND,10016
PORTLAND NORTH,708
PORTLAND WEST,619
PORTSEA,787
POUND CREEK,126
POWELLTOWN,214
POWERS CREEK,5
POWLETT PLAINS,38
PRAHRAN,12203
PRAIRIE,37
PRANJIP,28
PRESTON,33790
PRINCES HILL,2005
PRINCETOWN,236
PUCKAPUNYAL,1108
PURA PURA,47
PURDEET,21
PURNIM,292
PURNIM WEST,50
PYALONG,772
PYRAMID HILL,598
QUAMBATOOK,229
QUANDONG,5
QUANTONG,354
QUARRY HILL,2365
QUEENSCLIFF,1516
RAGLAN,223
RAINBOW,672
RANCEBY,83
RATHSCAR,19
RATHSCAR WEST,31
RAVENHALL,2295
RAVENSWOOD,443
RAVENSWOOD SOUTH,76
RAWSON,296
RAYMOND ISLAND,589
RAYWOOD,329
RED CLIFFS,5294
RED HILL,1009
RED HILL SOUTH,708
RED LION,111
REDAN,3000
REDBANK,102
REDCASTLE,67
REDESDALE,299
REEDY CREEK,157
REEDY DAM,28
REEDY FLAT,6
REEDY LAKE,26
REEFTON,102
RESEARCH,2695
RESERVOIR,51096
REYNARD,0
RHEOLA,52
RHYLL,836
RHYMNEY,56
RIACHELLA,13
RICH AVON,3
RICH AVON EAST,7
RICH AVON WEST,34
RICHMOND,28587
RICHMOND PLAINS,9
RIDDELLS CREEK,4390
RIGGS CREEK,31
RINGWOOD,19144
RINGWOOD EAST,10764
RINGWOOD NORTH,9964
RIPPLEBROOK,268
RIPPLESIDE,994
RIPPONLEA,1532
RIVERSIDE,287
RIVERSLEA,165
ROBERTSONS BEACH,49
ROBINVALE,3497
ROCHESTER,3154
ROCHFORD,71
ROCKBANK,2583
ROCKLANDS,25
ROCKLYN,43
ROCKY POINT,4
ROKEBY,213
ROKEWOOD,208
ROKEWOOD JUNCTION,34
ROMSEY,5797
ROSANNA,8616
ROSE RIVER,26
ROSEBERY,0
ROSEBROOK,128
ROSEBUD,14381
ROSEDALE,1729
ROSES GAP,7
ROSEWHITE,141
ROSLYNMEAD,49
ROSS CREEK,1221
ROSSBRIDGE,27
ROSTRON,10
ROWSLEY,231
ROWVILLE,33571
ROXBURGH PARK,24129
RUBICON,44
RUBY,187
RUFFY,164
RUNNING CREEK,36
RUNNYMEDE,64
RUPANYUP,545
RUSHWORTH,1411
RUSSELLS BRIDGE,70
RUTHERGLEN,2579
RYANS,0
RYANSTON,324
RYE,9438
RYTHDALE,33
SAFETY BEACH,6328
SAILORS FALLS,79
SAILORS GULLY,743
SAILORS HILL,72
SALE,14296
SALISBURY WEST,38
SAMARIA,57
SAN REMO,1700
SANDFORD,130
SANDHILL LAKE,9
SANDHURST,5211
SANDON,89
SANDRINGHAM,10926
SANDY CREEK,200
SANDY POINT,312
SARGOOD,0
SARSFIELD,543
SASSAFRAS,970
SAWMILL SETTLEMENT,86
SCARSDALE,855
SCORESBY,6066
SCOTCHMANS LEAD,105
SCOTSBURN,244
SCOTTS CREEK,214
SEA LAKE,619
SEABROOK,4952
SEACOMBE,15
SEAFORD,17215
SEAHOLME,2067
SEASPRAY,373
SEATON,161
SEAVIEW,140
SEBASTIAN,251
SEBASTOPOL,10194
SEDDON,5143
SEDGWICK,614
SELBY,1626
SELWYN,0
SEPARATION CREEK,28
SERPENTINE,222
SERVICETON,129
SEVILLE,2559
SEVILLE EAST,837
SEYMOUR,6569
SHADY CREEK,186
SHAYS FLAT,3
SHE OAKS,126
SHEANS CREEK,38
SHEEP HILLS,27
SHELBOURNE,423
SHELFORD,263
SHELLEY,5
SHEPHERDS FLAT,71
SHEPPARTON,32067
SHEPPARTON EAST,1192
SHEPPARTON NORTH,2048
SHERBROOKE,294
SHOREHAM,679
SIDONIA,28
SILVAN,1323
SILVERLEAVES,322
SIMPSON,583
SIMPSONS CREEK,39
SIMSON,76
SKENES CREEK,249
SKENES CREEK NORTH,19
SKIBO,70
SKINNERS FLAT,27
SKIPTON,609
SKYE,8088
SLATY CREEK,34
SMEATON,245
SMITHS BEACH,315
SMITHS GULLY,356
SMOKEYTOWN,32
SMOKO,56
SMYTHES CREEK,1762
SMYTHESDALE,1189
SNAKE ISLAND,0
SNAKE VALLEY,820
SOLDIERS HILL,2813
SOMERS,1857
SOMERTON,6
SOMERVILLE,11767
SORRENTO,2013
SOUTH DUDLEY,421
SOUTH GEELONG,1014
SOUTH KINGSVILLE,2156
SOUTH MELBOURNE,11548
SOUTH MORANG,24989
SOUTH PURRUMBETE,124
SOUTH WHARF,71
SOUTH YARRA,25028
SOUTHBANK,22631
SOUTHERN CROSS,128
SPARGO CREEK,42
SPEED,53
SPOTSWOOD,2820
SPRING GULLY,3092
SPRING HILL,200
SPRINGBANK,117
SPRINGDALLAH,35
SPRINGFIELD (BULOKE - VIC.),9
SPRINGFIELD (MACEDON RANGES - VIC.),193
SPRINGHURST,349
SPRINGMOUNT,184
SPRINGVALE,22174
SPRINGVALE SOUTH,12766
ST ALBANS,38042
ST ALBANS PARK,4942
ST ANDREWS,1186
ST ANDREWS BEACH,974
ST ARNAUD,2318
ST ARNAUD EAST,100
ST ARNAUD NORTH,43
ST CLAIR,44
ST GERMAINS,75
ST HELENA,2890
ST HELENS,34
ST HELENS PLAINS,40
ST JAMES,123
ST KILDA,19490
ST KILDA EAST,12571
ST KILDA WEST,2951
ST LEONARDS,3542
STACEYS BRIDGE,44
STAFFORDSHIRE REEF,63
STAGHORN FLAT,368
STANHOPE,826
STANLEY,371
STAUGHTON VALE,105
STAVELY,47
STAWELL,6220
STEELS CREEK,276
STEIGLITZ,61
STEWARTON,118
STIRLING,0
STOCKDALE,41
STOCKYARD HILL,49
STONEHAVEN,79
STONELEIGH,45
STONY CREEK (CENTRAL GOLDFIELDS - VIC.),0
STONY CREEK (SOUTH GIPPSLAND - VIC.),310
STONYFORD,65
STRADBROKE,187
STRANGWAYS,101
STRATEN,11
STRATFORD,2980
STRATH CREEK,231
STRATHALLAN,180
STRATHBOGIE,351
STRATHDALE,5756
STRATHDOWNIE,176
STRATHEWEN,198
STRATHFIELDSAYE,6850
STRATHKELLAR,84
STRATHLEA,33
STRATHMERTON,1072
STRATHMORE,8980
STRATHMORE HEIGHTS,1047
STRATHTULLOH,3997
STREATHAM,158
STRZELECKI,107
STUART MILL,78
SUGARLOAF,20
SUGARLOAF CREEK,255
SUGGAN BUGGAN,5
SULKY,234
SUMMERLANDS,0
SUNBURY,38851
SUNDAY CREEK,368
SUNDERLAND BAY,306
SUNSET STRIP,503
SUNSHINE,9445
SUNSHINE NORTH,12047
SUNSHINE WEST,18552
SURF BEACH,670
SURREY HILLS,13655
SUTHERLAND,16
SUTHERLANDS CREEK,129
SUTTON,3
SUTTON GRANGE,160
SWAN BAY,103
SWAN HILL,11186
SWAN HILL WEST,11
SWAN ISLAND,0
SWAN MARSH,127
SWAN REACH,861
SWANPOOL,227
SWANWATER,10
SWANWATER WEST,17
SWIFTS CREEK,232
SYDENHAM,10578
SYLVATERRE,22
TABBERABBERA,0
TABILK,160
TABOR,38
TAGGERTY,405
TAHARA,30
TAHARA BRIDGE,20
TAHARA WEST,17
TALBOT,452
TALGARNO,245
TALLANDOON,92
TALLANGATTA,1175
TALLANGATTA EAST,39
TALLANGATTA SOUTH,142
TALLANGATTA VALLEY,194
TALLAROOK,748
TALLYGAROOPNA,600
TAMBO CROSSING,25
TAMBO UPPER,325
TAMBOON,3
TAMBORITHA,0
TAMINICK,139
TAMLEUGH,54
TAMLEUGH NORTH,24
TANDAROOK,46
TANDARRA,55
TANGAMBALANGA,908
TANJIL,0
TANJIL BREN,7
TANJIL SOUTH,540
TANWOOD,15
TANYBRYN,15
TARADALE,524
TARCOMBE,32
TARILTA,26
TARNAGULLA,153
TARNEIT,56370
TARNOOK,103
TAROON,25
TARRA VALLEY,85
TARRANYURK,36
TARRAVILLE,69
TARRAWARRA,81
TARRAWINGEE,416
TARRAYOUKYAN,25
TARRENGOWER,56
TARRENLEA,25
TARRINGTON,328
TARRONE,69
TARWIN,59
TARWIN LOWER,462
TATONG,281
TATURA,4955
TATURA EAST,135
TATYOON,130
TAWONGA,568
TAWONGA SOUTH,1012
TAYLOR BAY,76
TAYLORS HILL,15419
TAYLORS LAKES,15174
TEAL POINT,54
TECOMA,2064
TEDDYWADDY,23
TEDDYWADDY WEST,12
TEESDALE,2308
TELANGATUK EAST,75
TELFORD,21
TELOPEA DOWNS,44
TEMPLESTOWE,16966
TEMPLESTOWE LOWER,14098
TEMPY,62
TENBY POINT,206
TENNYSON,60
TERANG,2254
TERIP TERIP,72
TERRAPPEE,20
TERRICK TERRICK,8
TERRICK TERRICK EAST,8
TESBURY,110
TETOORA ROAD,93
THALIA,4
THE BASIN,4497
THE COVE,18
THE GURDIES,243
THE HEART,30
THE HONEYSUCKLES,131
THE PATCH,1046
THE SISTERS,110
THOLOGOLONG,22
THOMASTOWN,20234
THOMSON (BAW BAW - VIC.),0
THOMSON (GREATER GEELONG - VIC.),1606
THOONA,133
THORNBURY,19005
THORNHILL PARK,3066
THORNTON,311
THORPDALE,475
THORPDALE SOUTH,27
THOWGLA VALLEY,70
THREE BRIDGES,188
TIMBARRA,0
TIMBOON,1250
TIMBOON WEST,57
TIMMERING,90
TIMOR,68
TIMOR WEST,23
TINAMBA,358
TINAMBA WEST,63
TINTALDRA,66
TITTYBONG,3
TOL TOL,175
TOLMIE,547
TOM GROGGIN,7
