LOCALITY,cafe_count,Population,cafe_density
VERMONT,1,10993,0.09096697898662785
BLACKBURN SOUTH,1,10939,0.09141603437242893
SANDRINGHAM,13,10926,1.18982244188175
ELSTERNWICK,10,10887,0.918526683200147
FOREST HILL,3,10780,0.2782931354359926
RINGWOOD EAST,8,10764,0.7432181345224824
KENSINGTON,14,10745,1.3029315960912053
BURWOOD EAST,5,10675,0.468384074941452
PASCOE VALE SOUTH,3,10534,0.284792101765711
DINGLEY VILLAGE,2,10495,0.19056693663649357
FITZROY,53,10431,5.081008532259611
CAIRNLEA,2,10038,0.19924287706714486
MURRUMBEENA,6,9996,0.6002400960384153
RINGWOOD NORTH,3,9964,0.30108390204737057
HEATHMONT,6,9933,0.6040471156750227
MALVERN,8,9929,0.8057206163762716
MACLEOD,2,9892,0.2021835826930853
OAKLEIGH SOUTH,3,9851,0.30453761039488375
MOUNT EVELYN,6,9799,0.6123073783039086
BRAYBROOK,3,9682,0.3098533360875852
CHADSTONE,2,9552,0.20938023450586266
WILLIAMS LANDING,1,9448,0.10584250635055038
SUNSHINE,15,9445,1.5881418740074114
MAIDSTONE,1,9389,0.10650761529449355
ARMADALE,6,9368,0.6404782237403929
MONTMORENCY,5,9250,0.5405405405405406
COLLINGWOOD,36,9179,3.921995860115481
FRASER RISE,1,9097,0.10992634934593823
ABBOTSFORD,23,9088,2.5308098591549295
BAYSWATER NORTH,3,9014,0.3328156201464389
STRATHMORE,2,8980,0.22271714922049
LYNDHURST,2,8926,0.22406453058480844
MORDIALLOC,15,8886,1.688048615800135
DERRIMUT,5,8651,0.5779678649867067
ROSANNA,5,8616,0.5803156917363045
BOX HILL SOUTH,4,8491,0.4710870333294076
OAKLEIGH,26,8442,3.079838900734423
CHELSEA,9,8347,1.0782317000119803
ORMOND,2,8328,0.24015369836695485
COBURG NORTH,15,8327,1.8013690404707579
GLADSTONE PARK,1,8213,0.12175818823815901
AIRPORT WEST,2,8173,0.2447081854888046
NARRE WARREN NORTH,2,8033,0.24897298643097227
WEST MELBOURNE,18,8025,2.2429906542056073
ASHBURTON,11,7952,1.3832997987927564
CANTERBURY,7,7800,0.8974358974358975
PATTERSON LAKES,1,7793,0.12832028743744384
KNOXFIELD,4,7645,0.5232177894048398
BLACKBURN NORTH,3,7627,0.3933394519470303
HUGHESDALE,5,7563,0.6611133148221605
HEIDELBERG,9,7360,1.2228260869565217
ASPENDALE,5,7285,0.6863417982155113
WINDSOR,4,7273,0.5499793757734085
BEACONSFIELD,5,7267,0.688041832943443
PARKVILLE,30,7074,4.2408821034775235
FLEMINGTON,5,7025,0.7117437722419929
MONTROSE,2,6900,0.2898550724637681
ELTHAM NORTH,1,6830,0.14641288433382138
UPWEY,6,6818,0.8800234672924611
OAKLEIGH EAST,1,6804,0.14697236919459142
DALLAS,1,6762,0.1478852410529429
HEIDELBERG HEIGHTS,1,6758,0.14797277300976622
BOTANIC RIDGE,1,6739,0.14838996883810654
TULLAMARINE,9,6733,1.3366998366255756
OAK PARK,2,6714,0.29788501638367587
KEW EAST,5,6620,0.7552870090634441
CLIFTON HILL,4,6606,0.6055101422948834
FAIRFIELD,18,6535,2.7543993879112474
WESTMEADOWS,2,6502,0.30759766225776686
ASPENDALE GARDENS,1,6427,0.1555935895441108
BLACK ROCK,7,6389,1.09563311942401
MOORABBIN,4,6287,0.6362334976936536
EDITHVALE,2,6276,0.3186743148502231
HADFIELD,6,6269,0.957090445047057
CARLTON NORTH,10,6177,1.6189088554314393
SCORESBY,7,6066,1.153972964061985
ALBERT PARK,13,6044,2.150893448047651
KEILOR,2,5906,0.3386386725364037
NIDDRIE,2,5901,0.3389256058295204
CAULFIELD,6,5748,1.04384133611691
FRANKSTON NORTH,1,5711,0.17510068289266328
ALPHINGTON,4,5702,0.701508242721852
MONT ALBERT NORTH,2,5609,0.35656979853806386
WARRANDYTE,7,5541,1.2633098718642843
CHELSEA HEIGHTS,1,5393,0.18542555164101615
BALACLAVA,6,5392,1.112759643916914
WATSONIA,3,5352,0.5605381165919282
HEIDELBERG WEST,2,5252,0.38080731150038083
SEDDON,8,5143,1.5555123468792533
CAMPBELLFIELD,11,4977,2.210166767128792
MONT ALBERT,6,4948,1.2126111560226356
GLEN HUNTLY,6,4905,1.2232415902140672
EAST MELBOURNE,20,4896,4.0849673202614385
WARRANWOOD,1,4820,0.20746887966804978
LAVERTON,2,4760,0.42016806722689076
CROYDON SOUTH,2,4759,0.42025635637739023
THE BASIN,3,4497,0.66711140760507
ALBION,1,4334,0.23073373327180433
CARRUM,1,4239,0.2359046945034206
MIDDLE PARK,5,4000,1.25
EAGLEMONT,2,3960,0.5050505050505051
ABERFELDIE,2,3925,0.5095541401273885
KINGSVILLE,2,3920,0.5102040816326531
BELGRAVE,9,3894,2.3112480739599386
WONGA PARK,1,3843,0.2602133749674733
PARK ORCHARDS,2,3835,0.5215123859191656
HURSTBRIDGE,7,3554,1.9696117051209903
ST LEONARDS,4,3542,1.129305477131564
UPPER FERNTREE GULLY,3,3417,0.8779631255487269
CRANBOURNE SOUTH,1,3241,0.308546744831842
KEALBA,1,3226,0.30998140111593303
COOLAROO,3,3193,0.9395552771688068
ESSENDON NORTH,1,3071,0.32562683165092804
YARRA GLEN,1,3012,0.33200531208499334
ST KILDA WEST,2,2951,0.6777363605557438
NOTTING HILL,5,2895,1.7271157167530224
ST HELENA,1,2890,0.3460207612456747
SPOTSWOOD,4,2820,1.4184397163120568
RESEARCH,1,2695,0.37105751391465674
KEILOR PARK,1,2684,0.37257824143070045
PLENTY,1,2575,0.38834951456310685
